Author,Quote,Pathway
Julian Hall*,Developing a mindful “practice” is exactly that. For very good reasons it is not called developing a mindful “ instant result.”*,Meaning & Purpose
Mitch Albom*,All endings are also beginnings. We just don’t know it at the time.*,Meaning & Purpose
Joanne Raptis*,Be like a tree. Stay grounded. Connect with your roots. Turn over a new leaf. Bend before you break. Enjoy your unique natural beauty. Keep growing.*,Meaning & Purpose
Eckhart Tolle*,The greater part of human pain is unnecessary. It is self-created as long as the unobserved mind runs your life.*,Meaning & Purpose
Dalai Lama*,We are so accustomed to faulty states of mind that it is difficult to change with just a little practice. Just a drop of something sweet cannot change a taste that is powerfully bitter. We must persist in the face of failure.*,Meaning & Purpose
Elbert Hubbard*,Men are only as great as they are kind.*,Meaning & Purpose
Byron Katie*,Taking responsibility for your beliefs and judgements gives you the power to change them.*,Meaning & Purpose
Hafiz of Shiraz*,"I wish I could show you, when you are lonely or in darkness, the astonishing light of your own being.*",Meaning & Purpose
Dodinsky*,The key to being happy is knowing you have the power to choose what to accept and what to let go.*,Meaning & Purpose
Frank A. Clark*,Real generosity is doing something nice for someone who will never find out.*,Meaning & Purpose
Channing Pollock*,Happiness is a way station between too little and too much.*,Meaning & Purpose
E.E. Cummings*,It takes courage to grow up and become who you really are.*,Meaning & Purpose
Atul Purohit*,"Life is about trusting your feelings and taking chances, losing and finding happiness, appreciating the memories, learning from the past, and realizing people change.*",Meaning & Purpose
Benjamin Franklin*,"When you’re finished changing, you’re finished.*",Meaning & Purpose
Natalie Babbitt*,Don’t be afraid of death; be afraid of an unlived life. You don’t have to live forever; you just have to live.*,Meaning & Purpose
KT Witten*,Your dream doesn’t have an expiration date. Take a deep breath and try again.*,Meaning & Purpose
Rosalyn S. Yalow*,The excitement of learning separates youth from old age. As long as you’re learning you’re not old.*,Meaning & Purpose
Viktor E. Frankl*,"For the meaning of life differs from man to man, from day to day and from hour to hour. What matters, therefore, is not the meaning of life in general but rather the specific meaning of a person's life at a given moment.*",Meaning & Purpose
Viktor E. Frankl*,Between stimulus and response there is a space. In that space is our power to choose our response. In our response lies our growth and our freedom.*,Meaning & Purpose
Chinese Proverb*,People who say it cannot be done should not interrupt those who are doing it.*,Meaning & Purpose
Friedrich Nietzsche*,"To live is to suffer, to survive is to find some meaning in the suffering.*",Meaning & Purpose
Daisaku Ikeda*,"The person who lives life fully, glowing with life’s energy, is the person who lives a successful life.*",Meaning & Purpose
Joseph Campbell*,I don’t believe people are looking for the meaning of life as much as they are looking for the experience of being alive.*,Meaning & Purpose
Friedrich Nietzsche*,He who has a why to live can bear almost any how.*,Meaning & Purpose
Steven Pinker*,Morality is not just any old topic in psychology but close to our conception of the meaning of life. Moral goodness is what gives each of us the sense that we are worthy human beings.*,Meaning & Purpose
Mitch Albom*,"The way you get meaning into your life is to devote yourself to loving others, devote yourself to your community around you, and devote yourself to creating something that gives you purpose and meaning.*",Meaning & Purpose
Julian Hall*,There are times it feels like a struggle to bring a sense of meaning and purpose to our lives. Don’t give up hope. When we choose to look for it we can find meaning and purpose in the simplest of tasks.*,Meaning & Purpose
Mahatma Gandhi*,"Happiness is when what you think, what you say, and what you do are in harmony.*",Meaning & Purpose
Wayne Dyer*,"You get World Peace through Inner Peace. If you've got a world full of people who have Inner Peace, then you have a Peaceful World.*",Meaning & Purpose
Carl Rogers*,"The curious paradox is that when I accept myself just as I am, then I can change.*",Meaning & Purpose
Julian Hall*,Trust is not a gift to others.It is a gift to ourselves.  The one who trusts themselves and others sleeps peacefully.*,Stress
Julian Hall*,"Not trusting someone does not miraculously make them more trustworthy. It just makes you hyper vigilant, stressed and grumpy. Your choice.*",Stress
Erica Layne*,Balance isn’t fitting everything in. It's starting with what’s important and letting the rest fall as it will.*,Stress
Danielle Orner*,Life is a balance between what we can control and what we cannot. I am learning to live between effort and surrender.*,Stress
Thich Nhat Hanh*,"In true dialogue, both sides are willing to change.*",Stress
Kahlil Gibran*,"Our anxiety does not come from thinking about the future, but from wanting to control it.*",Stress
Glenn Turner*,"Worrying is like a rocking chair, it gives you something to do, but it gets you nowhere.*",Stress
Joyce Meyer*,Worry is a downpayment on a problem you may never have.*,Stress
Dalai Lam*,"There are only two days in the year that nothing can be done. One is called yesterday and the other is called tomorrow, so today is the right day to love, believe, do, and mostly, love.*",Stress
Mark Twain*,A man cannot be comfortable without his own approval.*,Stress
Rachel Wolchin*,Maturity is realizing how many things don’t require your comment.*,Stress
Eunice Camacho Infante*,"In the end, people will judge you anyway. So don’t live your life impressing others. Live your life impressing yourself.*",Stress
Byron Katie*,"When you argue with reality, you lose, but only 100% of the time.*",Stress
Bryant McGill*,Your calm mind is the ultimate weapon against your challenges. So Relax.*,Stress
